T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total,dial,alpha_mean,q_a,c_auto,p
10.0,all_H,enable_hiring,3,5123.914024272382,90.16666666666667,0,12,q_a,,1.0,,
10.0,all_H,enable_hiring,4,5321.359613473653,91.0,0,11,q_a,,1.0,,
10.0,greedy_with_switching,enable_hiring,0,6736.766317758151,81.33333333333333,0,23,q_a,,1.0,,
10.0,greedy_with_switching,enable_hiring,1,6409.520759188005,86.5,0,17,q_a,,1.0,,
10.0,greedy_with_switching,enable_hiring,2,6642.57885546068,91.16666666666667,0,13,q_a,,1.0,,
10.0,greedy_with_switching,enable_hiring,3,6384.979183229696,84.66666666666667,0,19,q_a,,1.0,,
10.0,greedy_with_switching,enable_hiring,4,6820.023659244031,83.5,0,20,q_a,,1.0,,
10.0,horizon_optimizer,enable_hiring,0,6736.766317758151,81.33333333333333,0,23,q_a,,1.0,,
10.0,horizon_optimizer,enable_hiring,1,6409.520759188005,86.5,0,17,q_a,,1.0,,
10.0,horizon_optimizer,enable_hiring,2,6642.57885546068,91.16666666666667,0,13,q_a,,1.0,,
10.0,horizon_optimizer,enable_hiring,3,6384.979183229696,84.66666666666667,0,19,q_a,,1.0,,
10.0,horizon_optimizer,enable_hiring,4,6820.023659244031,83.5,0,20,q_a,,1.0,,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,q_a,,1.2,,
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,q_a,,1.2,,
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3,q_a,,1.2,,
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12,q_a,,1.2,,
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11,q_a,,1.2,,
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49,q_a,,1.2,,
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33,q_a,,1.2,,
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27,q_a,,1.2,,
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45,q_a,,1.2,,
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45,q_a,,1.2,,
10.0,horizon_optimizer,enable_hiring,0,6999.268752327045,81.33333333333333,0,23,q_a,,1.2,,
10.0,horizon_optimizer,enable_hiring,1,6598.091888468036,86.5,0,17,q_a,,1.2,,
10.0,horizon_optimizer,enable_hiring,2,6765.618738933614,91.16666666666667,0,13,q_a,,1.2,,
10.0,horizon_optimizer,enable_hiring,3,6561.523498537821,84.66666666666667,0,19,q_a,,1.2,,
10.0,horizon_optimizer,enable_hiring,4,7030.596842871724,83.5,0,20,q_a,,1.2,,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,c_auto,,,0.1,
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,c_auto,,,0.1,
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3,c_auto,,,0.1,
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12,c_auto,,,0.1,
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11,c_auto,,,0.1,
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49,c_auto,,,0.1,
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33,c_auto,,,0.1,
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27,c_auto,,,0.1,
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45,c_auto,,,0.1,
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45,c_auto,,,0.1,
10.0,horizon_optimizer,enable_hiring,0,6999.268752327045,81.33333333333333,0,23,c_auto,,,0.1,
10.0,horizon_optimizer,enable_hiring,1,6598.091888468036,86.5,0,17,c_auto,,,0.1,
10.0,horizon_optimizer,enable_hiring,2,6765.618738933614,91.16666666666667,0,13,c_auto,,,0.1,
10.0,horizon_optimizer,enable_hiring,3,6561.523498537821,84.66666666666667,0,19,c_auto,,,0.1,
10.0,horizon_optimizer,enable_hiring,4,7030.596842871724,83.5,0,20,c_auto,,,0.1,
10.0,all_H,enable_hiring,0,5198.206719785867,90.83333333333333,0,11,c_auto,,,0.2,
10.0,all_H,enable_hiring,1,5041.345122159769,92.5,0,9,c_auto,,,0.2,
10.0,all_H,enable_hiring,2,5404.324418222168,97.5,0,3,c_auto,,,0.2,
10.0,all_H,enable_hiring,3,4938.479825566879,90.16666666666667,0,12,c_auto,,,0.2,
10.0,all_H,enable_hiring,4,5157.528248143752,91.0,0,11,c_auto,,,0.2,
10.0,greedy_with_switching,enable_hiring,0,6439.268752327045,81.33333333333333,0,23,c_auto,,,0.2,
10.0,greedy_with_switching,enable_hiring,1,6193.091888468037,86.5,0,17,c_auto,,,0.2,
10.0,greedy_with_switching,enable_hiring,2,6500.618738933615,91.16666666666667,0,13,c_auto,,,0.2,
10.0,greedy_with_switching,enable_hiring,3,6101.523498537821,84.66666666666667,0,19,c_auto,,,0.2,
10.0,greedy_with_switching,enable_hiring,4,6535.596842871724,83.5,0,20,c_auto,,,0.2,
10.0,horizon_optimizer,enable_hiring,0,6439.268752327045,81.33333333333333,0,23,c_auto,,,0.2,
10.0,horizon_optimizer,enable_hiring,1,6193.091888468037,86.5,0,17,c_auto,,,0.2,
10.0,horizon_optimizer,enable_hiring,2,6500.618738933615,91.16666666666667,0,13,c_auto,,,0.2,
10.0,horizon_optimizer,enable_hiring,3,6101.523498537821,84.66666666666667,0,19,c_auto,,,0.2,
10.0,horizon_optimizer,enable_hiring,4,6535.596842871724,83.5,0,20,c_auto,,,0.2,
10.0,all_H,enable_hiring,0,4923.206719785867,90.83333333333333,0,11,c_auto,,,0.3,
10.0,all_H,enable_hiring,1,4816.345122159769,92.5,0,9,c_auto,,,0.3,
10.0,all_H,enable_hiring,2,5329.324418222168,97.5,0,3,c_auto,,,0.3,
10.0,all_H,enable_hiring,3,4643.479825566879,90.16666666666667,0,12,c_auto,,,0.3,
10.0,all_H,enable_hiring,4,4887.528248143752,91.0,0,11,c_auto,,,0.3,
10.0,greedy_with_switching,enable_hiring,0,5879.268752327045,81.33333333333333,0,23,c_auto,,,0.3,
10.0,greedy_with_switching,enable_hiring,1,5788.091888468036,86.5,0,17,c_auto,,,0.3,
10.0,greedy_with_switching,enable_hiring,2,6235.618738933614,91.16666666666667,0,13,c_auto,,,0.3,
10.0,greedy_with_switching,enable_hiring,3,5641.523498537821,84.66666666666667,0,19,c_auto,,,0.3,
10.0,greedy_with_switching,enable_hiring,4,6040.596842871724,83.5,0,20,c_auto,,,0.3,
